Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
460,desert_tortoise_asynchronous_burrow_sharing_unweighted,N461_tortoise_sah_network_CS_aggregate_year_2008_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,10,25,35,0.117,7,2.8,2.498,0.892,0.293,2.8,2.498,0.892,1,0,0,7,0.326,0.016,0.025,0.089251208,0.016,0.025,0.089251208,0.309,0.309,0.511,0.329,0.623,0.528,0.685714286,3,5,4,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
461,desert_tortoise_asynchronous_burrow_sharing_unweighted,N462_tortoise_sah_network_CS_aggregate_year_2009_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,7,25,27,0.09,5,2.16,1.488,0.689,0.431,2.16,1.488,0.689,1,0,0,5,0.384,0.007,0.01,0.036231884,0.007,0.01,0.036231884,0.32,0.32,0.559,0.222,0.436,0.509,0.407407407,2,4,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
462,desert_tortoise_asynchronous_burrow_sharing_unweighted,N463_tortoise_sah_network_CS_aggregate_year_2010_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,7,28,38,0.101,7,2.714,1.943,0.716,0.616,2.714,1.943,0.716,1,0,0,7,0.218,0.01,0.015,0.053751187,0.01,0.015,0.053751187,0.332,0.332,0.458,0.308,0.577,0.534,0.500052637,3,4.333333333,4,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
463,desert_tortoise_asynchronous_burrow_sharing_unweighted,N464_tortoise_sah_network_CS_aggregate_year_2011_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,19,32,14,0.028,3,0.875,0.927,1.059,0.794,0.875,0.927,1.059,1,0,0,3,-0.037,0.001,0.002,0.006451613,0.001,0.002,0.006451613,0.052,0.052,0.25,0.08,0.48,0.167,0.214285714,2,2.5,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
464,desert_tortoise_asynchronous_burrow_sharing_unweighted,N465_tortoise_sah_network_CS_aggregate_year_2011_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,26,32,8,0.016,2,0.5,0.791,1.582,1.251,0.5,0.791,1.582,1,0,0,2,1,0,0,0,0,0,0,0.188,0.188,1,0,0,NA,0.375,1,3,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
465,desert_tortoise_asynchronous_burrow_sharing_unweighted,N466_tortoise_sah_network_CS_aggregate_year_2012_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,29,42,20,0.023,5,0.952,1.527,1.604,1.77,0.952,1.527,1.604,1,0,0,5,0.418,0.001,0.004,0.013414634,0.001,0.004,0.013414634,0.147,0.147,0.563,0.178,0.444,0.401,0.550220088,2,5,4,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
466,desert_tortoise_asynchronous_burrow_sharing_unweighted,N467_tortoise_sah_network_CS_aggregate_year_2013_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,27,40,16,0.021,4,0.8,1.122,1.403,1.578,0.8,1.122,1.403,1,0,0,4,-0.011,0.001,0.002,0.010796221,0.001,0.002,0.010796221,0.117,0.117,0.409,0.204,0.49,0.416,0.3125,2,3,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
467,desert_tortoise_asynchronous_burrow_sharing_unweighted,N468_tortoise_sah_network_CS_aggregate_year_2013_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,35,40,6,0.008,2,0.3,0.6,2,1.994,0.3,0.6,2,1,0,0,2,1,0,0,0,0,0,0,0.075,0.075,1,0,0,NA,0.5,1,3,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
468,desert_tortoise_asynchronous_burrow_sharing_unweighted,N469_tortoise_sah_network_CS_aggregate_year_2014_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,78,105,30,0.005,4,0.571,0.893,1.564,1.721,0.571,0.893,1.564,1,0,0,4,-0.037,0,0.001,0.002987304,0,0.001,0.002987304,0.065,0.065,0.31,0.364,0.475,0.766,0.266866817,2,4.5,5,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
469,desert_tortoise_asynchronous_burrow_sharing_unweighted,N470_tortoise_sah_network_CS_aggregate_year_2014_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,94,105,12,0.002,2,0.229,0.503,2.197,2.197,0.229,0.503,2.197,1,0,0,2,0.625,0,0,0.000186707,0,0,0.000186707,0.029,0.029,0.75,0,0,NA,0.166354752,1,3,2,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
470,desert_tortoise_asynchronous_burrow_sharing_unweighted,N471_tortoise_sah_network_CS_aggregate_year_2015_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,64,73,10,0.004,2,0.274,0.58,2.117,2.074,0.274,0.58,2.117,1,0,0,2,0.2,0,0,0.000391236,0,0,0.000391236,0.041,0.041,0.6,0,0,NA,0.299970003,1,3,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
471,desert_tortoise_asynchronous_burrow_sharing_unweighted,N472_tortoise_sah_network_FI_aggregate_year_2005_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,188,252,67,0.002,5,0.532,0.773,1.453,1.77,0.532,0.773,1.453,1,0,0,5,0.159,0,0,0.000924303,0,0,0.000924303,0.027,0.027,0.205,0.401,0.583,0.688,0.134264232,3,3.333333333,4,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
472,desert_tortoise_asynchronous_burrow_sharing_unweighted,N473_tortoise_sah_network_FI_aggregate_year_2005_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,240,252,13,0,2,0.103,0.341,3.311,3.511,0.103,0.341,3.311,1,0,0,2,1,0,0,0,0,0,0,0.012,0.012,1,0,0,NA,0.231160425,1,3,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
473,desert_tortoise_asynchronous_burrow_sharing_unweighted,N474_tortoise_sah_network_FI_aggregate_year_2006_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,334,391,64,0.001,4,0.327,0.656,2.006,2.277,0.327,0.656,2.006,1,0,0,4,0.521,0,0,6.59E-05,0,0,6.59E-05,0.038,0.038,0.585,0.031,0.459,0.068,0.062569902,2,2.5,2,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
474,desert_tortoise_asynchronous_burrow_sharing_unweighted,N475_tortoise_sah_network_FI_aggregate_year_2007_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,737,749,12,0,2,0.032,0.184,5.75,5.929,0.032,0.184,5.75,1,0,0,2,-0.091,0,0,3.58E-06,0,0,3.58E-06,0,0,0,0,0,NA,0.166889186,1,3,2,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
475,desert_tortoise_asynchronous_burrow_sharing_unweighted,N476_tortoise_sah_network_FI_aggregate_year_2008_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,878,1100,418,0.001,11,0.76,1.762,2.318,3.025,0.76,1.762,2.318,1,0,0,11,0.724,0,0,0.000658627,0,0,0.000658627,0.111,0.111,0.713,0.64,0.758,0.844,0.14354067,6,6.333333333,8,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
476,desert_tortoise_asynchronous_burrow_sharing_unweighted,N477_tortoise_sah_network_FI_aggregate_year_2008_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,1072,1100,34,0,4,0.062,0.344,5.548,7.022,0.062,0.344,5.548,1,0,0,4,0.486,0,0,6.63E-06,0,0,6.63E-06,0.01,0.01,0.636,0.055,0.43,0.128,0.146627566,2,3,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
477,desert_tortoise_asynchronous_burrow_sharing_unweighted,N478_tortoise_sah_network_FI_aggregate_year_2009_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,753,897,237,0.001,11,0.528,1.289,2.441,3.241,0.528,1.289,2.441,1,0,0,11,0.316,0,0,0.000482592,0,0,0.000482592,0.103,0.103,0.554,0.489,0.765,0.639,0.177358873,5,6,7,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
478,desert_tortoise_asynchronous_burrow_sharing_unweighted,N479_tortoise_sah_network_FI_aggregate_year_2009_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,875,897,22,0,2,0.049,0.221,4.51,4.503,0.049,0.221,4.51,1,0,0,2,-0.048,0,0,0.000002494,0,0,0.000002494,0,0,0,0,0,NA,0.091006302,1,3,2,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
479,desert_tortoise_asynchronous_burrow_sharing_unweighted,N480_tortoise_sah_network_FI_aggregate_year_2010_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,642,750,123,0,5,0.328,0.758,2.311,2.782,0.328,0.758,2.311,1,0,0,5,0.339,0,0,0.000271307,0,0,0.000271307,0.032,0.032,0.383,0.504,0.654,0.771,0.138211382,3,6,11,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
480,desert_tortoise_asynchronous_burrow_sharing_unweighted,N481_tortoise_sah_network_FI_aggregate_year_2010_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,721,750,31,0,3,0.083,0.316,3.807,4.367,0.083,0.316,3.807,1,0,0,3,0.787,0,0,1.43E-05,0,0,1.43E-05,0.007,0.007,0.667,0.22,0.42,0.524,0.128514056,2,2.5,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
481,desert_tortoise_asynchronous_burrow_sharing_unweighted,N482_tortoise_sah_network_FI_aggregate_year_2011_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,570,908,479,0.001,11,1.055,1.633,1.548,2.365,1.055,1.633,1.548,1,0,0,11,0.515,0,0.001,0.013364756,0,0.001,0.013364756,0.119,0.119,0.415,0.805,0.877,0.918,0.48019709,11,12.90909091,18,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
482,desert_tortoise_asynchronous_burrow_sharing_unweighted,N483_tortoise_sah_network_FI_aggregate_year_2011_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,890,908,19,0,2,0.042,0.216,5.143,5.547,0.042,0.216,5.143,1,0,0,2,1,0,0,0,0,0,0,0.003,0.003,1,0,0,NA,0.157331655,1,3,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
483,desert_tortoise_asynchronous_burrow_sharing_unweighted,N484_tortoise_sah_network_FI_aggregate_year_2012_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,556,640,106,0.001,8,0.331,0.882,2.665,4.064,0.331,0.882,2.665,1,0,0,8,0.355,0,0,0.000573977,0,0,0.000573977,0.042,0.042,0.455,0.488,0.746,0.654,0.217145015,4,5.5,6,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
484,desert_tortoise_asynchronous_burrow_sharing_unweighted,N485_tortoise_sah_network_FI_aggregate_year_2012_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,635,640,5,0,1,0.016,0.124,7.75,7.843,0.016,0.124,7.75,1,0,0,1,nan,0,0,0,0,0,0,0,0,0,0,0,NA,0.1953125,1,2,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
485,desert_tortoise_asynchronous_burrow_sharing_unweighted,N486_tortoise_sah_network_FI_aggregate_year_2013_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"California, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,79,144,83,0.008,5,1.153,1.34,1.162,1.199,1.153,1.34,1.162,1,0,0,5,0.272,0,0.001,0.008092846,0,0.001,0.008092846,0.124,0.124,0.359,0.543,0.709,0.766,0.240917414,4,4.5,9,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
486,desert_tortoise_asynchronous_burrow_sharing_unweighted,N487_tortoise_sah_network_HW_aggregate_year_2009_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,14,22,9,0.039,3,0.818,0.936,1.144,0.808,0.818,0.936,1.144,1,0,0,3,-0.543,0.002,0.006,0.023809524,0.002,0.006,0.023809524,0.136,0.136,0.375,0.219,0.469,0.467,0.333407424,2,2.5,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
487,desert_tortoise_asynchronous_burrow_sharing_unweighted,N488_tortoise_sah_network_HW_aggregate_year_2011_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,14,20,6,0.032,2,0.6,0.735,1.225,0.919,0.6,0.735,1.225,1,0,0,2,-0.333,0.001,0.004,0.011695906,0.001,0.004,0.011695906,0,0,0,0.167,0.5,0.334,0.333333333,2,2,3,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
488,desert_tortoise_asynchronous_burrow_sharing_unweighted,N489_tortoise_sah_network_HW_aggregate_year_2012_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,12,17,7,0.051,3,0.824,1.042,1.265,1.18,0.824,1.042,1.265,1,0,0,3,0.588,0,0.001,0.004166667,0,0.001,0.004166667,0.196,0.196,0.75,0,0,NA,0.713877784,1,4,2,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
489,desert_tortoise_asynchronous_burrow_sharing_unweighted,N490_tortoise_sah_network_LM_aggregate_year_1998_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,14,51,89,0.07,12,3.49,3.522,1.009,0.961,3.49,3.522,1.009,1,0,0,12,0.048,0.014,0.024,0.09724587,0.014,0.024,0.09724587,0.37,0.37,0.362,0.363,0.775,0.468,0.561829316,5,7,5,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
490,desert_tortoise_asynchronous_burrow_sharing_unweighted,N491_tortoise_sah_network_LM_aggregate_year_1998_season_inactive.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,4 months,N/A,focal follow/ad libitum,not available,FALSE,44,51,11,0.009,3,0.431,0.913,2.118,2.105,0.431,0.913,2.118,1,0,0,3,1,0,0,0,0,0,0,0.137,0.137,1,0,0,NA,0.545926027,1,4,1,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
491,desert_tortoise_asynchronous_burrow_sharing_unweighted,N492_tortoise_sah_network_LM_aggregate_year_1999_season_active.graphml,Reptilia,Gopherus,agassizii,social_projection_bipartite,A bipartite network was first constructed based on burrow use - an edge connecting a tortoise node to a burrow node indicated burrow use by the individual. Social networks of desert tortoises were then constructed by the bipartite network into a single-mode projection of tortoise nodes.,unweighted,"Nevada, USA",free-ranging,radio tags,8 months,N/A,focal follow/ad libitum,not available,FALSE,19,44,34,0.036,6,1.545,1.499,0.97,0.992,1.545,1.499,0.97,1,0,0,6,-0.055,0.004,0.011,0.043189369,0.004,0.011,0.043189369,0.27,0.27,0.441,0.416,0.666,0.625,0.353045013,3,4.666666667,6,"Sah, Pratha, et al. ""Inferring social structure and its drivers from refuge use in the desert tortoise, a relatively solitary species."" Behavioral Ecology and Sociobiology 70.8 (2016): 1277-1289."
