Graph#,dirname,filename,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
20,ants_proximity_weighted,N20_ant_mersch_col1_day21.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,99,3266,0.673,93,65.98,14.826,0.225,-0.545,535.434,301.908,0.564,8.115,9.686,1.194,1537,0.009,0.003,0.002,0.011096275,0.011,0.008,0.033471414,0.794,0.056,0.774,0.139,0.489,0.284,0.650334812,2,49.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
21,ants_proximity_weighted,N21_ant_mersch_col1_day22.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2269,0.718,74,56.725,11.017,0.194,-0.796,419.475,238.752,0.569,7.395,9.541,1.29,1166,-0.022,0.004,0.002,0.009020105,0.013,0.009,0.044266952,0.794,0.046,0.784,0.103,0.499,0.206,0.604230939,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
22,ants_proximity_weighted,N22_ant_mersch_col1_day23.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2246,0.711,73,56.15,11.142,0.198,-1.231,436.25,239.968,0.55,7.769,10.468,1.347,1156,0.016,0.004,0.002,0.009467953,0.013,0.01,0.046380958,0.793,0.04,0.782,0.105,0.5,0.21,0.60507569,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
23,ants_proximity_weighted,N23_ant_mersch_col1_day24.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2372,0.751,75,59.3,10.961,0.185,-1.147,463.8,259.598,0.56,7.821,10.223,1.307,1523,0.007,0.003,0.002,0.007853581,0.013,0.01,0.048903094,0.824,0.032,0.815,0.096,0.499,0.192,0.597807757,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
24,ants_proximity_weighted,N24_ant_mersch_col1_day25.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2117,0.67,73,52.925,11.06,0.209,-0.634,373.825,209.032,0.559,7.063,9.15,1.295,1059,0.005,0.004,0.002,0.011030256,0.013,0.01,0.049981071,0.762,0.047,0.749,0.122,0.499,0.244,0.623523855,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
25,ants_proximity_weighted,N25_ant_mersch_col1_day26.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2137,0.676,73,53.425,11.544,0.216,-0.985,392.5,207.334,0.528,7.347,10.024,1.364,1206,0.019,0.004,0.002,0.013588618,0.013,0.011,0.045627452,0.776,0.035,0.761,0.12,0.5,0.24,0.619560131,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
26,ants_proximity_weighted,N26_ant_mersch_col1_day27.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2010,0.636,75,50.25,12.115,0.241,-0.555,384.65,204.485,0.532,7.655,10.044,1.312,1089,0.072,0.005,0.004,0.02440742,0.015,0.013,0.0576669,0.777,0.032,0.756,0.147,0.466,0.315,0.680597015,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
27,ants_proximity_weighted,N27_ant_mersch_col1_day28.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2143,0.678,72,53.575,12.374,0.231,-1.393,408.475,193.14,0.473,7.624,10.145,1.331,1026,0.062,0.004,0.003,0.014825033,0.014,0.011,0.047332331,0.789,0.044,0.776,0.117,0.494,0.237,0.623425105,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
28,ants_proximity_weighted,N28_ant_mersch_col1_day29.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2221,0.703,74,55.525,12.385,0.223,-1.651,418.95,218.299,0.521,7.545,10.09,1.337,1362,0.055,0.004,0.003,0.017553632,0.013,0.013,0.068399354,0.81,0.036,0.797,0.116,0.494,0.235,0.622242233,2,40,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
29,ants_proximity_weighted,N29_ant_mersch_col1_day30.graphml,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,80,2220,0.703,76,55.5,12.552,0.226,-1.238,428.625,186.119,0.434,7.723,9.366,1.213,991,0.009,0.004,0.003,0.014006884,0.014,0.01,0.05803153,0.813,0.051,0.796,0.11,0.494,0.223,0.615315315,2,40,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
