Dataset,Graph#,dirname,Filename,Class,Order,Genus,Species,Taxa,interaction_type,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,Citation
,25,ants_proximity_weighted,N25_ant_mersch_col1_day26.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,26,ants_proximity_weighted,N26_ant_mersch_col1_day27.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,27,ants_proximity_weighted,N27_ant_mersch_col1_day28.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,28,ants_proximity_weighted,N28_ant_mersch_col1_day29.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,29,ants_proximity_weighted,N29_ant_mersch_col1_day30.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,30,ants_proximity_weighted,N30_ant_mersch_col1_day31.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,31,ants_proximity_weighted,N31_ant_mersch_col1_day32.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,32,ants_proximity_weighted,N32_ant_mersch_col1_day33.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,33,ants_proximity_weighted,N33_ant_mersch_col1_day34.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,34,ants_proximity_weighted,N34_ant_mersch_col1_day35.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,35,ants_proximity_weighted,N35_ant_mersch_col1_day36.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
,36,ants_proximity_weighted,N36_ant_mersch_col1_day37.graphml,Insecta,Hymenoptera,Camponotus,fellah,Camponotus_fellah,physical_contact,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
